MANILA,
Manila CPO - Ermita,1000
Quiapo,1001
Intramuros,1002
Sta Cruz South,1003
Malate,1004
San Miguel,1005
Binondo,1006
Paco,1007
Sampaloc East,1008
Sta. Ana,1009
San Nicolas ,1010
Pandacan,1011
Tondo South,1012
Tondo North,1013
Sta Cruz North,1014
Sampaloc West ,1015
Sta Mesa,1016
San Andres Bukid,1017
Port Area (South),1018
CALOOCAN CITY,
NORTH,
Kaybiga/Deparo,1420
Bagumbong / Pag-asa,1421
Novaliches North (Camarin North),1422
Lilles Ville Subdivision,1423
Capitol Parkland Subdivision,1424
Amparo Subdivision,1425
Bankers Village,1426
Tala Leprosarium,1427
Victory Heights,1427
Bagong Silang,1428
SOUTH,
Caloocan City CPO,1400
Baesa,1401
Sta. Quiteria,1402
Grace Park East,1403
San Jose,1404
1st Ave. to 7th Ave. - West,1405
Grace Park West,1406
University Hills,1407
Sangandaan,1408
Kaunlaran Village,1409
Maypajo,1410
Fish Market,1411
Isla de Cocomo,1412
Kapitbahayan East,1413
LAS PIÑAS,
Las Piñas CPO,1740
Remarville Subdivision,1741
Pulang Lupa,1742
Zapote,1742
Cut-cut,1743
Manuyo,1744
Gatchalian Subdivision,1745
Verdant Acres Subdivision,1746
"Talon, Moonwalk",1747
Manila Doctors Village,1748
Angela Village,1749
Almanza,1750
T. S. Cruz Subdivision,1751
Soldiers Hills Subdivision,1752
MAKATI CITY,
"Makati CPO (Inc, Buendia Up To",1200
Fort Bonifacio Naval Stn.,1202
San Antonio Village (Inc. Malu),1203
La Paz-Singkamas-Tejeros,1204
Sta. Cruz,1205
Kasilawan,1206
Olympia And Carmona,1207
"Valenzuela (Inc. Santiago, San Miguel & Rizal Vill.)",1208
Bel-air,1209
Poblacion,1210
Guadalupe Viejo (Inc. Palm Vil),1211
Guadalupe Nuevo (Inc. Visayan),1212
Pinagkaisahan-pitogo,1213
Cembo,1214
Rembo(west),1215
Rembo (East) & Malapad Na Bato,1216
Comembo,1217
Pembo,1218
Forbes Park North,1219
Forbes Park South,1220
Dasmarinas Village North,1221
Dasmarinas Village South,1222
San Lorenzo Village,1223
Commercial Center,1224
Urdaneta Village,1225
Ayala-Paseo De Roxas,1226
Salcedo Village,1227
Greenbelt,1228
Legaspi Village,1229
Pio Del Pilar,1230
"Pasong Tamo 2000 Up, Ecology V",1231
Magallanes Village,1232
Bangkal,1233
San Isidro,1234
Palanan,1235
MALABON CITY,
Kaunlaran Village,1409
Malabon,1470
Flores,1471
Longos,1472
Tonsuya,1473
Acacia,1474
Potrero,1475
Araneta Subdivision,1476
Maysilo,1477
Santolan,1478
Muzon,1479
Dampalit,1480
MANDALUYONG CITY,
Mandaluyong CPO,1550
Vergara,1551
Shaw Boulevard,1552
Phil. Natl. Mental Hospital,1553
East Edsa,1554
Wack Wack Golf,1555
Greenhills South,1556
MARIKINA CITY,
Marikina CPO - Sta. Elena - Sto. Niño,1800
San Roque - Calumpang,1801
Industrial Valley,1802
Barangka,1803
Tañong,1803
J. De La Peña,1804
Malanday,1805
North/West Of Marikina River,1806
Concepcion 1,1807
Nangka,1808
Parang,1809
Marikina Heights,1810
Concepcion 2,1811
MUNTINLUPA CITY,
Muntinlupa CPO    ,1770
Bule/Cupang,1771
Bayanan/Putatan,1772
Tunasan,1773
Susana Heights,1774
Pearl Heights,1775
Poblacion,1776
Pleasant Village,1777
Ayala Alabang Subdivision,1780
Filinvest Corp. City,1781
Ayala Alabang P.O. Boxes,1799
NAVOTAS,
Kaunlaran Village,1409
Fish Market,1411
Isla De Cocomo,1412
Kapitbahayan East,1413
Navotas     ,1485
Tangos ,1489
Tanza,1490
PARAÑAQUE,
Parañaque Cpo,1700
Tambo,1701
Baclaran,1702
Marina Subd. (Reclamation),1703
Sto. Nino,1704
Ninoy Aquino Int’l. Airport,1705
Pulo,1706
San Antonio Valley 11 & 12,1707
Multinational Village,1708
Merville Park,1709
Moonwalk,1709
South Admiral Village,1709
Executive Heights Subd.,1710
Better Living Subdivision,1711
Miramar Subdivision,1712
United Subd.,1713
Aeropark Subdivision,1714
Ireneville Ii,1714
San Antonio Valley I,1715
Maywood Village Ii,1716
Manila Memorial Park,1717
Bf Homes 2,1718
Ireneville Subdivision I & Ii,1719
Maywood I,1719
Bf Homes 1,1720
PASAY CITY,
Pasay City CPO Malibay,1300
Domestic Airport Po,1301
San Rafael,1302
San Roque,1303
Santa Clara,1304
San Jose,1305
San Isidro,1306
PICC (Reclamation Area),1307
Manila Bay (Reclamation),1308
Villamor Airbase,1309
PASIG CITY,
Pasig CPO,1600
San Joaquin,1601
Pinagbuhatan,1602
Kapitolyo,1603
Ugong,1604
Ortigas PO,1605
Caniogan,1606
Maybunga ,1607
Sta. Lucia,1608
Rosario,1609
Santolan,1610
Manggahan,1611
Green Park,1612
PATEROS,
Aguho,1620
Sta. Ana,1621
QUEZON CITY,
Alicia,1105
Central,1100
Piñahan,1100
Project 6,1100
Quezon City Cpo,1100
Botocan,1101
Diliman,1101
Krus Na Ligas,1101
Malaya,1101
Old Capitol Site,1101
San Vicente,1101
Sikatuna Village,1101
Teachers Village,1101
Univ. of the Phils. PO,1101
UP Village,1101
Amihan,1102
Claro,1102
Duyan-duyan,1102
E. Rodriguez ,1102
Kamias,1102
Quirino Dist. (Proj. 2 & 3),1102
Silangan,1102
Kamuning,1103
Langing Handa,1103
Obrero,1103
Paligsahan,1103
Roxas District,1103
Sacred Heart,1103
South Triangle,1103
Damayan,1104
Mariblo,1104
Nayon Kaunlaran,1104
Paraiso,1104
Phil-am,1104
Santa Cruz,1104
Talayan,1104
Bagong Pag-asa,1105
Bungad,1105
Del Monte,1105
Katipunan,1105
Paltok,1105
Project 7,1105
R. Magsaysay,1105
San Antonio,1105
Sto. Cristo,1105
Veterans Village,1105
Apolonio Samson,1106
Baesa,1106
Bahay Toro,1106
Balumbato,1106
Project 8,1106
Salumbato,1106
Unang Sigaw,1106
New Era,1107
Pasong Tamo,1107
Loyola Heights,1108
Pansol,1108
Bagong Buhay,1109
Bayanihan,1109
Blue Ridge,1109
Cubao,1109
Dioquino Zobel,1109
Escopa,1109
Mangga,1109
Marilag,1109
Masagana,1109
Milagrosa,1109
Project 4,1109
San Roque,1109
Socorro,1109
Tagumpay,1109
Villa Maria Clara,1109
Bagong Bayan,1110
Camp Aguinaldo,1110
Libis,1110
St. Ignatius,1110
Talampas,1110
Ugong Norte,1110
Bagong Lipunan,1111
Crame,1111
Immaculate Concepcion,1111
Kaunlaran,1111
Pinagkaisahan,1111
St. Martin De Porres,1111
Damayan Lagi,1112
Horseshoe,1112
Kalusugan,1112
Kristong Hari,1112
Mariana,1112
Valencia,1112
Doña Imelda,1113
Don Manuel,1113
Doña Aurora,1113
Doña Josefa,1113
Gantol,1113
San Isidro,1113
Sto. Nino,1113
Tatalon,1113
Gintong Silahis,1114
La Loma,1114
Lourdes,1114
Maharlika,1114
Matalahib,1114
Paang Bundok,1114
Salvacion,1114
San Isidro Labrador,1114
Santa Teresita,1114
Sienna,1114
St. Peter,1114
Balingasa,1115
Damar,1115
Manresa,1115
Masambong,1115
Pag-ibig Sa Nayon,1115
San Jose,1115
Bagbag,1116
San Bartolome,1116
Sangandaan,1116
Sauyo,1116
Talipapa,1116
Tandang Sora,1116
Capri,1117
Gulod,1117
San Agustin,1117
Santa Lucia,1117
Santa Monica,1117
Fairview,1118
Pasong Putik,1118
Bagong Silangan,1119
Matandang Balara,1119
Payatas,1119
BF Homes,1120
Commonwealth,1121
Fairview North,1121
Novaliches Proper,1121
Fairview South,1122
Damong Maliit,1123
Kaligayahan,1124
Doña Faustina Subd,1125
Nagkaisang Nayon,1125
Batasan Hills,1126
Capitol Hills/Park,1126
Holy Spirit,1127
Culiat,1128
Vasra,1128
SAN JUAN CITY,
San Juan CPO,1500
Greenhills PO,1502
Greenhills North,1503
Eisenhower-Crame,1504
TAGUIG CITY,
Bicutan Western,1630
Bicutan,1631
Bicutan Lower,1632
Bicutan Upper,1633
Nichols - Mckinley,1634
Bonifacio Global City,1635
Bay Breeze Exec. Village,1636
Tuktukan,1637
Ligid,1638
Ususan,1639
VALENZUELA CITY,
Valenzuela CPO - Malinta,1440
Karuhatan,1441
Fortune Vil. - Paso De Blas - Gen. T. De Leon,1442
Dalandan - West Canumay,1443
Arkong Bato-Rincon-Pasolo-Malanday-Mabolo-Polo,1444
Balangkas-Caloong,1445
Lingunan,1446
East Canumay - Lawang Bato Pun,1447
Mapulang Lupa,1448
Valenzuela P.O. Boxes,1469
,
*** NOTHING FOLLOWS ***,
